batch,feature,icc_A,n_A
original,original_shape_LeastAxisLength,0.7666994131226085,22
original,original_shape_MajorAxisLength,0.763893924011041,22
original,original_shape_Maximum2DDiameterColumn,0.8171174796830222,22
original,original_firstorder_10Percentile,0.8717746937523194,22
original,original_firstorder_90Percentile,0.8675589104025321,22
original,original_firstorder_Entropy,0.7883239601258832,22
original,original_firstorder_InterquartileRange,0.8052967912077125,22
original,original_firstorder_MeanAbsoluteDeviation,0.7852517038822185,22
original,original_firstorder_Mean,0.8996284373577977,22
original,original_firstorder_Median,0.9107287818664895,22
original,original_firstorder_RobustMeanAbsoluteDeviation,0.8036555124337886,22
original,original_firstorder_RootMeanSquared,0.8945911454953485,22
original,original_firstorder_Uniformity,0.8141481271211696,22
original,original_glcm_Correlation,0.8818882737298605,22
original,original_glcm_Id,0.7998327974602449,22
original,original_glcm_Idm,0.7991698752521508,22
original,original_glcm_Imc1,0.7962180704268238,22
original,original_glcm_Imc2,0.8777050656185483,22
original,original_glcm_JointAverage,0.754406142171068,22
original,original_glcm_JointEnergy,0.8378221277033067,22
original,original_glcm_JointEntropy,0.790588919770123,22
original,original_glcm_MCC,0.8363750559854214,22
original,original_glcm_MaximumProbability,0.8756106284679409,22
original,original_glcm_SumAverage,0.7544061421710683,22
original,original_glcm_SumEntropy,0.8116687200345623,22
original,original_glrlm_GrayLevelNonUniformity,0.8604287744057266,22
original,original_glrlm_GrayLevelNonUniformityNormalized,0.7750626944607985,22
original,original_glrlm_LongRunEmphasis,0.8724295384065393,22
original,original_glrlm_LongRunLowGrayLevelEmphasis,0.7525651093438966,22
original,original_glrlm_LowGrayLevelRunEmphasis,0.7955367587843376,22
original,original_glrlm_RunLengthNonUniformityNormalized,0.838856186095417,22
original,original_glrlm_RunPercentage,0.8568959134274811,22
original,original_glrlm_RunVariance,0.8932284208974854,22
original,original_glrlm_ShortRunEmphasis,0.836957550102841,22
original,original_glrlm_ShortRunLowGrayLevelEmphasis,0.7845549053344277,22
original,original_glszm_LargeAreaEmphasis,0.7936915209453074,22
original,original_glszm_LargeAreaHighGrayLevelEmphasis,0.9533709330961606,22
original,original_glszm_LargeAreaLowGrayLevelEmphasis,0.9326808007435472,22
original,original_glszm_ZoneEntropy,0.7695276416641441,22
original,original_glszm_ZonePercentage,0.7737789968473957,22
original,original_glszm_ZoneVariance,0.7932238495777749,22
original,original_gldm_DependenceNonUniformityNormalized,0.9021905031916233,22
original,original_gldm_DependenceVariance,0.9074039607732899,22
original,original_gldm_GrayLevelNonUniformity,0.8668596079511813,22
original,original_gldm_LargeDependenceEmphasis,0.8714895649953223,22
original,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.7560345416202902,22
original,original_gldm_LowGrayLevelEmphasis,0.7992585224426214,22
original,original_gldm_SmallDependenceEmphasis,0.7819875497227485,22
original,original_ngtdm_Contrast,0.8225077085100518,22
wavelet,wavelet-LLH_firstorder_Kurtosis,0.9395111262066055,22
wavelet,wavelet-LLH_firstorder_Skewness,0.8449524055805882,22
wavelet,wavelet-LLH_glcm_ClusterShade,0.8156895945367625,22
wavelet,wavelet-LLH_glcm_Idmn,0.8989070876070117,22
wavelet,wavelet-LLH_glcm_Idn,0.9379602177218405,22
wavelet,wavelet-LLH_glcm_Imc1,0.9238501795719508,22
wavelet,wavelet-LLH_glcm_Imc2,0.8362064292158835,22
wavelet,wavelet-LLH_glcm_InverseVariance,0.7535568648288781,22
wavelet,wavelet-LLH_glcm_MCC,0.808356775158739,22
wavelet,wavelet-LLH_glrlm_GrayLevelNonUniformity,0.838722396243026,22
wavelet,wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.7637266445726403,22
wavelet,wavelet-LLH_glrlm_RunPercentage,0.7705488486194684,22
wavelet,wavelet-LLH_glszm_LargeAreaEmphasis,0.7812826108400448,22
wavelet,wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.9197573025879379,22
wavelet,wavelet-LLH_glszm_ZoneEntropy,0.76886134154937,22
wavelet,wavelet-LLH_glszm_ZoneVariance,0.781452945597686,22
wavelet,wavelet-LLH_gldm_DependenceVariance,0.845714940820742,22
wavelet,wavelet-LLH_gldm_GrayLevelNonUniformity,0.8506707944127438,22
wavelet,wavelet-LLH_gldm_LargeDependenceEmphasis,0.7540940868588399,22
wavelet,wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.9375609994622385,22
wavelet,wavelet-LLH_ngtdm_Busyness,0.7914022098939648,22
wavelet,wavelet-LHL_firstorder_10Percentile,0.8133109772280609,22
wavelet,wavelet-LHL_firstorder_InterquartileRange,0.8149903807776818,22
wavelet,wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.7776676157908229,22
wavelet,wavelet-LHL_firstorder_Minimum,0.7945544640960973,22
wavelet,wavelet-LHL_firstorder_Range,0.7711887331910617,22
